ID|Naslov|Avtor|Mentor|Ključne besede|Leto|Jezik|Organizacija|Kraj|Ogledi|Prenosi
46581|ANALIZA OBRATOVANJA V RESONANČNO OZEMLJENIH SREDNJENAPETOSTNIH OMREŽJIH|Rošer, Miran|Štumberger, Gorazd|resonančno ozemljena omrežja, zemeljski stiki, obločni stiki, distribucijsko omrežje|2014|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|Maribor|4061|444
44854|FILOZOFSKA ANALIZA MEHANIZMOV NARAVNEGA MIŠLJENJA IN UMETNE INTELIGENCE|Aberšek, Boris|Borstner, Bojan|filozofija duha, kognitivna znanost, konekcionizem, kibernetska didaktika, umetna inteligenca, naravno mišljenje|2014|Slovenski jezik|FF - Filozofska fakulteta|Maribor|3094|683
46488|POVEČANJE INFORMACIJSKE PRENOSNE HITROSTI NEVROLOŠKIH VMESNIKOV NA OSNOVI VIZUALNO IZZVANIH POTENCIALOV S POMOČJO BINOKULARNEGA VZBUJANJA|Kirbiš, Matej|Kramberger, Iztok|Vmesnik možgani-računalnik, EEG, vizualno vzbujanje, SSVEP, binokularno, faza|2014|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|Maribor|2157|182
45324|Encimska sinteza laktatnih estrov v nekonvencionalnih topilih|Kavčič, Sabina|Leitgeb, Maja|encimska esterifikacija, lipaza, n-butil laktat, superkritični fluidi, ionska tekočina|2014|Slovenski jezik|FKKT - Fakulteta za kemijo in kemijsko tehnologijo|Maribor|2857|265
46366|ANALIZA KALJENIH MATERIALOV S POMOČJO FRAKTALNE GEOMETRIJE|Babič, Matej|Kokol, Peter|inteligentni sistemi, algoritmi, hibridni sistemi, strojno učenje, fraktalna geometrija, teorija grafov, topografija materiala po toplotni obdelavi|2014|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|[Maribor|2300|210
43409|Postavitev sistema indikatorjev za merjenje uspešnosti razvoja mesta|Mavrič, Jasmina|Bobek, Vito|Mesto, regija, sistemi merjenja, indikatorji, razvrščanje mest, globalizacija, urbanizacija, konkurenčnost, kakovost bivanja|2014|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Maribor|2619|439
43739|VPLIV DELOVNIH IN ORGANIZACIJSKIH DEJAVNIKOV NA NASTANEK SINDROMA IZGOREVANJA V SOCIALNOVARSTVENIH ZAVODIH V REPUBLIKI SLOVENIJI|Leskovic, Ljiljana|Vukovič, Goran|Izgorevanje na delovnem mestu, delovni pogoji, organizacijske spremenljivke, socialnovarstveni zavodi|2014|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Maribor|2899|503
45000|Grožnje informacijski varnosti pri rabi mobilnih naprav : doktorska disertacija|Markelj, Blaž|Bernik, Igor|mobilne naprave, mobilni telefoni, tablični računalniki, grožnje, informacijska varnost, zaščita, doktorske disertacije|2014|Slovenski jezik|FVV - Fakulteta za varnostne vede|[Ljubljana|3941|913
45970|UPORABA IN VALIDACIJA FUNKCIONALNIH CELIČNIH MODELOV NESPREMENJENIH CELIČNIH LINIJ ZA OCENO BIOLOŠKE AKTIVNOSTI IN ANALIZO TVEGANJA V BIOMEDICINI|Trapečar, Martin|Slak Rupnik, Marjan|Celična linija, Celični model, Ocena biološke aktivnosti, Analiza tveganja|2014|Slovenski jezik|MF - Medicinska fakulteta|Maribor|2134|185
45384|MODELIRANJE IN ANALIZA MAGNETNIH KOMPONENT V MOČNOSTNIH DC-DC PRETVORNIKIH|Petrun, Martin|Dolinar, Drago|histerezni pojavi, magnetne komponente, metoda končnih elementov, močnostni DC DC pretvorniki, modeliranje, nehomogeno porazdeljen magnetni pretok, neuravnotežen magnetni pretok, preprečevanje nasičenja, vezni modeli, vrtinčni toki|2014|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|Maribor|2692|553
