Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi 
Varstvo pravic uporabnikov storitev na področju negospodarskih javnih služb,"Gantar, Damjan","Trpin, Gorazd",,negospodarska javna služba; zdravstvo; vzgoja in izobraževanje; socialna varnost; kultura; pravice in obveznosti uporabnika; upravnopravno odločanje; strokovno odločanje (»lex artis«); procesna jamstva; sodno varstvo; social service; health care; education; social security; culture; individual's rights and responsibilities; administrative legal decision-making; expert decision-making (“lex artis”); procedural guarantees; judicial protection,2019,Slovenski jezik,PF - Pravna fakulteta,,,2667,448
Uporaba enovitega modela barvnega zaznavanja pri upodabljanju barv v statični tridimenzionalni računalniški grafiki,"Bratuž, Nika","Javoršek, Dejana","Gabrijelčič Tomc, Helena",3D računalniška grafika; model barvnega zaznavanja; CIECAM02; upodabljanje barve; upodobljevalnik; 3D computer generated graphics; color appearance model; CIECAM02; reproduction of color; rendering engine,2019,Slovenski jezik,NTF - Naravoslovnotehniška fakulteta,,,2200,292
Sinteza dobro definiranih polipeptidov in polipeptidnih hibridnih polimerov z uporabo hidroksilnih skupin za iniciacijo,"Gradišar, Špela","Žagar, Ema","Grošelj, Uroš",polimerizacija z odpiranjem obroča (ROP); N-karboksianhidridi α-aminokislin (NCA); iniciacija ROP NCA s hidroksilno skupino; dobro definirani polipeptidi; polipeptidni hibridni kopolimeri; ring-opening polymerization (ROP); α-amino acid N-carboxyanhydride (NCA); hydroxyl group initiated ROP NCA; well-defined polypeptides; polypeptide-based hybrid copolymers,2019,Slovenski jezik,FKKT - Fakulteta za kemijo in kemijsko tehnologijo,,,2804,476
Vpliv občutka koherentnosti na kakovost življenja in subjektivno oceno zdravja pri bolnikih z multiplo sklerozo,"Štern, Biljana","Zaletel Kragelj, Lijana","Hojs Fabjan, Tanja",občutek skladnosti; kakovost življenja; samoocena splošnega zdravja; multipla skleroza; validacija; sense of coherence; quality of life; self-rated health; multiple sclerosis; validation,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2176,348
Incremental matrix factorization for simultaneous learning from parallel data streams,"Jakomin, Martin","Bosnić, Zoran","Curk, Tomaž",machine learning; matrix factorization; data streams; data fusion; incremental learning; recommender systems; synthetic data generator; strojno učenje; matrična faktorizacija; podatkovni tokovi; zlivanje podatkov; inkrementalno učenje; priporočilni sistemi; generator sintetičnih podatkov,2019,Angleški jezik,FRI - Fakulteta za računalništvo in informatiko,,,3649,517
ADAPTIVNI MODEL AGENTA ODJEMALCA NA TRGU Z ELEKTRIČNO ENERGIJO,"Medved, Tomi","Gubina, Andrej Ferdo",,pametna omrežja; prilagajanje odjema; prožnost; sistem semaforja; strojno učenje; agentno učenje; posplošeno Q-učenje; dvostopenjsko posplošeno Q-učenje; smart grids; demand response; flexibility; Traffic Light System; machine learning; agent learning; generalized Q-learning; 2-step generalized Q-learning,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,3245,382
LEARNING OF OBJECT REPRESENTATIONS THROUGH ROBOTIC MANIPULATION,"BEVEC, ROBERT","Ude, Aleš",,active perception; interactive learning; foveated vision; active vision; autnomousobject learning; object recognition.; interaktivno učenje; aktivna segmentacija; humanoidni vid; aktivnivid; avtonomno učenje objektov; prepoznavanje objektov.,2019,Angleški jezik,FE - Fakulteta za elektrotehniko,,,1537,303
Vibroakustična karakterizacija elektronsko komutiranih motorjev,"Luznar, Janez","Boltežar, Miha","Slavič, Janko",elektromagnetne sile; modalna superpozicija; preklopna frekvenca; pulzno-širinska modulacija; rekonstrukcija magnetnega polja; strukturna dinamika; strukturni hrup; electromagnetical forces; field reconstruction method; modal superposition; pulse-width modulation; structural dynamics; structure-borne noise; switching frequency,2019,Slovenski jezik,FS - Fakulteta za strojništvo,30,114,3356,474
Vedenjsko oglaševanje v elektronskem komuniciranju,"Burnik, Jelena","Golob, Urša",,vedenjsko oglaševanje; varstvo osebnih podatkov; behavioural advertising; data protection,2019,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2576,674
Vloga in pomen pogodbenih teles Organizacije združenih narodov pri uveljavljanju mednarodnega prava človekovih pravic,"Pavčič, Urša","Roter, Petra",,pogodbena telesa OZN; razvoj mednarodnega prava človekovih pravic; mednarodnopravna norma s področja človekovih pravic; uresničevanje človekovih pravic; skladno ravnanje države; prepoved mučenja; pravica do življenja; omejevanje uporabe smrtne kazni; pravica do izobraževanje; UN treaty bodies; development of international human rights law; international human rights norm; human rights implementation; state compliance; prohibition of torture; right to life; limiting the application of the death penalty; right to education,2019,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2211,406
Sedimentna evolucija slovenjgraškega bazena v neogenu,"Ivančič, Kristina","Šmuc, Andrej","Novak, Matevž",sedimentacijsko okolje; provenienca; miocen; pobočni masni premiki; sekvenčni cikli; depositional environment; provenance; Miocene; slope mass movements; sequence cycles,2019,Slovenski jezik,NTF - Naravoslovnotehniška fakulteta,,,2660,401
NUMERIČNI MODEL PORAZDELITVE TOKA V VARISTORSKI MIKROSTRUKTURI ZA OPTIMIZACIJO PRENAPETOSTNIH ZAŠČITNIH NAPRAV,"TOPČAGIĆ, ZUMRET","Križaj, Dejan",,Metal-Oksidni Varistor; mikrostruktura; prenapetostne obremenitve; naprave za prenapetostno zaščito; energijske zmogljivosti varistorjev; varistor; metoda končnih elementov (FEM); Voronoi mreža; lokalizacija toka; Metal-Oxide Varistors; Microstructure; Overload behavior; Temporaryovervoltages (TOVs); Surge Protective Devices (SPDs); Energy Absorption Capability(EAC); Varistor; Finite Element Method (FEM); Voronoi network; Current distribution; Non-uniformity; Current localization factor,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,1900,354
Povečanje zmogljivosti optičnega dostopovnega omrežja z injekcijsko vklenitvijo Fabry-Perotovega laserja,"RATKOCERI, JAKUP","Batagelj, Boštjan",,C; D,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,1832,84
PRILAGODLJIV SISTEM KAKOVOSTI GLEDE NA TEHNIČNE LASTNOSTI MERILNIKOV ELEKTRIČNE ENERGIJE,"RADEJ, BLAŽ","Begeš, Gaber",,merilnik električne energije; aluminijasti elektrolitski superkondenzator; pospešeno staranje; interval overjanja; življenjska doba; merilni pogrešek; preskus merilne točnosti.; Smart electricity meter; aluminium electrolyte supercapacitor; accelerated ageing; verification interval; life time; measurement error; measurement accuracy testing.,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,874,250
Učinkovitost metode konceptualne spremembe pri poučevanju fotosinteze v biotehniških izobraževalnih programih,"Gobec, Katja","Strgar, Jelka",,fotosinteza; znanje; stališča; konceptualna sprememba; biotehniško izobraževanje; photosynthesis; knowledge; attitudes; conceptual change; biotechnical education,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,1198,204
Analiza dejavnikov pri fotodegradaciji odtisov v kapljičnem tisku,"Blaznik, Barbara","Bračko, Sabina","Kovač, Franci",fotodegradacija odtisov; kapljični tisk; barvila; papir; UV-sevanje; spektralna sestava svetlobe; dinamika degradacije; photodegradation of prints; inkjet printing; dye; paper; UV radiation; spectral composition of light; dynamics of degradation,2019,Slovenski jezik,NTF - Naravoslovnotehniška fakulteta,,,2057,343
Vsakdanje življenje oseb z nebinarnimi spolnimi in seksualnimi identitetami,"Perger, Nina","Švab, Alenka",,vsakdanje življenje; biseksualnost; transseksualnost,2019,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3252,695
Vpliv izbranih tehnoloških postopkov na kemijske in senzorične značilnosti slovenskih deviških oljčnih olj,"Bučar-Miklavčič, Milena","Golob, Terezija",,deviško oljčno olje; analizne metode; senzorične značilnosti; skladiščenje; filtracija; namakanje; virgin olive oil; sensory analyses; sensory properties; analytical methods; shelf-life; filtration; irrigation,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,1870,321
Vpliv prehrane matere in okoljskih dejavnikov na razvoj mikrobiote materinega mleka in črevesne mikrobiote dojenčka,"Tušar, Tina","Rogelj, Irena","Grabnar, Iztok",mikrobiota humanega mleka; črevesna mikrobiota; prehrana matere; probiotiki; DHK; prehrana otroka; način poroda; ITM; prirast telesne mase; human milk microbiota; gut microbiota; diet in pregnancy; probiotics; DHA; infant diet; delivery mode; BMI; gestational weight gain,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,2598,327
UPORABA STROJNEGA VIDA ZA SPREMLJANJE PROCESOV FILMSKEGA OBLAGANJA FARMACEVTSKIH TABLET IN MINI TABLET,"PODREKAR, GREGOR","Tomaževič, Dejan",,strojni vid; filmsko oblaganje; tablete; mini tablete; konvolucijske nevronske mreže; ocena 3D orientacije; machine vision; film coating process; tablets; minitablets; convolutional neural networks; 3D orientation estimation,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,2449,293
Evolutionary dynamics on evolving graphs,"Ikica, Barbara","Konvalinka, Matjaž","Perc, Matjaž",evolutionary game theory; evolutionary dynamics; dynamical processes on graphs; mean-field approximation; clustering algorithms; complex networks; contagion processes; threshold models; evolutionary graph theory; multilayer graphs; co-evolving graphs; evolucijska teorija iger; evolucijska dinamika; dinamični procesi na grafih; približek povprečnega polja; algoritmi gručenja; kompleksna omrežja; procesi okužbe; pragovni modeli; evolucijska teorija grafov; večplastni grafi; sorazvijajoči se grafi,2019,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,2756,412
Protektivno otroštvo in družbena medikalizacija,"Zidar, Marija","Ule, Mirjana",,protektivno otroštvo; otroci s posebnimi potrebami; medikalizacija; družbene študije otroštva,2019,Slovenski jezik,FDV - Fakulteta za družbene vede,,,4101,227
Zagotavljanje pristnosti medu s tehnologijo prestavljanja satja in krmljenja čebel,"Kandolf Borovšak, Andreja","Korošec, Mojca","Božič, Janko",med; pristnost medu; čebelarstvo; prestavljanje satja; krmljenje čebel; stabilni izotopi; tuji encimi; EA/LC-IRMS; kvasovke; honey; authenticity; beekeeping; reversing honeycomb; feeding the bees; stable isotopes; foreign enzymes; EA/LC-IRMS; yeasts,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,2330,585
Konstruiranje in preračun polimernih zobnikov z S ozobjem,"Zorko, Damijan","Duhovnik, Jožef",,zobniki; polimeri; S-ozobje; konstruiranje; numerični modeli; preizkušanje; gears; polymers; S-gears; engineering design; numerical models; testing,2019,Slovenski jezik,FS - Fakulteta za strojništvo,28,294,2564,527
Direct Numerical Simulation of flow separation with heat conduction,"Oder, Jure","Tiselj, Iztok",,DNS; confined backward facing flow; sodium flow; Nek5000; Direktna numerična simulacija; omejena stopnica; tok tekočega natrija; Nek5000,2019,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,2740,310
Vpliv dinamične omočljivosti na trenje,"Kus, Maja","Kalin, Mitjan",,dinamična omočljivost; koeficient trenja; aditivi; adsorpcija; olja; kot omočljivosti; dynamic wetting; coefficient of friction; additives; adsorption; oil; contact angle,2019,Slovenski jezik,FS - Fakulteta za strojništvo,26,108,2096,417
Politični menedžment lokalnih volilnih kampanj,"Kos, Domen","Haček, Miro","Deželan, Tomaž",politični menedžment volilnih kampanj; politični akterji; lokalne volilne kampanje,2019,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2350,360
Ustavna procesna jamstva v civilnem izvršilnem postopku,"Lipovec, Kristina","Galič, Aleš",,Civilni izvršilni postopek; ustavna procesna jamstva; pravica do sodnega varstva; pravica do izjave v postopku; pravica do pritožbe; načelo sorazmernosti; pravica do učinkovite izvršbe.; Civil enforcement proceedings; constitutional procedural guarantees; the right of access to court; the right to be heard in the proceedings; the right of appeal; the principle of proportionality; the right to effective enforcement.,2019,Slovenski jezik,PF - Pravna fakulteta,,,3704,679
Vloga gena PEX11 in identifikacija novih genov z vplivom na lipidni metabolizem kvasovke Saccharomyces cerevisiae,"Ogrizović, Mojca","Petrovič, Uroš",,Pex11; membranski protein peroksisomov; proteinske interakcije; medorganelno stiki; genetske poti; metabolizem lipidov; poligenska lastnost; kvantitativni lokus; pleitrofnost; Pex11; peroxisomal membrane protein; protein interactions; organelle interaction; genetic pathways; lipid metabolism; polygenic trait; quantitative trait locus; pleiotropy,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,2981,295
Asociacije bakterij z meduzami v obalnih morjih,"Kos Kramar, Maja","Turk, Valentina",,bakterije; meduze; asociacije; razgradnja meduzne biomase; Tržaški zaliv; Veliko jezero (otok Mljet); DGGE; klonske knjižnice; bakterijski izolati; mikroskopija; bacteria; jellyfish; associations; jellyfish biomass degradation; the Gulf of Trieste; the Big Lake (Mljet Island); DGGE; clone libraries; bacterial isolates; microscopy,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,2704,282
Konstituiranje funkcije predsednika republike v bivših socialističnih državah,"Dubrovnik, Tadej","Kaučič, Igor",,predsednik republike; šef države; politični sistem; vlada; parlament; President of the Republic; Head of state; political system; Government; Parliament,2019,Slovenski jezik,PF - Pravna fakulteta,,,1894,646
Vpliv valovne dolžine emitirane svetlobe svetlečih diod na vsebnost bioaktivnih spojin v plodovih sadja in zelenjave med skladiščenjem,"Kokalj, Doris","Vidrih, Rajko","Cigić, Blaž",sadje; zelenjava; skladiščenje; valovna dolžina svetlobe; spekter svetlobe; obsevanje s svetlobo; poobiralno tretiranje; svetleče diode; bioaktivne spojine; barva; skupne fenolne spojine; flavonoidi; pigmenti; antociani; fenilalanin amonijak liaza; antioksidativni potencial; vsebnost askorbinske kisline; fruits; vegetables; storage; light wavelength; light spectrum; light irradiation; postharvest treatment; light emitting diodes; bioactive compounds; colour; total phenolic compounds; flavonoids; pigments; anthocyans; phenylalanine ammonia lyase; antioxidant potential; ascorbic acid content,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,3639,1103
Črevesna mikrobiota nosečnic z gestacijskim diabetesom in pojav makrosomije,"Molan, Katja","Žgur Bertok, Darja","Ambrožič Avguštin, Jerneja",črevesna mikrobiota; nosečnost; gestacijski diabetes mellitus; debelost; kratkoverižne maščobne kisline; Escherichia coli; filogenetske skupine; dejavniki virulence; odpornost proti antibiotikom; genotoksini; protein imunosti ClbS; gut microbiota; pregnancy; gestational diabetes mellitus; obesity; short-chain fatty acids; Escherichia coli; phylogenetic groups; virulence factors; antibiotic resistance; genotoxins; immunity protein ClbS,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,4068,517
IN VIVO SELF-ASSEMBLING COILED-COIL-BASED PROTEIN ORIGAMI,"Lapenta, Fabio","Jerala, Roman",,Protein de novo design; coiled coil; protein cages; de novo načrtovanje proteinskih struktur; obvite vijačnice; proteinske kletke,2019,Angleški jezik,MF - Medicinska fakulteta,,,3973,519
Vpliv asimetrije kolčne glavice na tveganje za nastanek zgodnje artroze kolka po Perthesovi bolezni,"Moličnik, Andrej","Dolinar, Drago","Kralj Iglič, Veronika",biomehanska analiza; kolčni sklepni tlak; Legg-Calve-Perthesova bolezen; deformacija kolčne glavice; displazija kolka; biomechanical analysis; hip stress; Legg-Calve-Perthes disease; femoral head deformation; hip dysplasia,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2817,311
Obdelava anaerobnega digestata z mikroalgami in termofilna proizvodnja bioplina iz živilskih odpadkov in mikroalgne biomase,"Lavrič, Lea","Marinšek Logar, Romana","Cirman, Andreja",bioplin; tekoči digestat; mikroalge; termična predpriprava; bioaugmentacija; Clostridium thermocellum; ekonomska analiza algne obdelave; analiza Monte Carlo; biogas; digestate supernatant; microalgae; thermal pretreatment; bioaugmentation; Clostridium thermocellum; algal treatment feasibility; Monte Carlo simulation,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,2904,629
Vpliv lokalnih mehanizmov na razvoj bločnih modelov,"Cugmas, Marjan","Žiberna, Aleš","Ferligoj, Anuška",družbena omrežja; razvoj omrežja; lokalni omrežni mehanizmi; globalne omrežne zgradbe; bločni model; verjetnostno modeliranje na ravni posameznika; modeli razvoja omrežij; funkcija relativnega prileganja; social network analysis; network evolution; local network mechanisms; global network structures; blockmodel; Stochastic Actor Oriented Models; Network Evolution Models; Relative Fit function; interactional networks; knowledge-flow networks,2019,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2814,382
Značilnosti naseljevanja rastlin in izbranih skupin talnih živali na presvetlitve dinarskega jelovo-bukovega gozda (Omphalodo-Fagetum),"Ravnjak, Blanka","Kos, Ivan","Bavcon, Jože",gozdne presvetlitve; kolonizacija rastlin; strige; populacijska dinamika; forest gaps; plant colonization; centipedes; population dynamics,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,2170,319
Karakterizacija prometnih tokov slovenskih avtocest za potrebe sistema nadzora in vodenja prometa,"Rijavec, Robert","Grabec, Igor","Žura, Marijan",karakterizacija prometa; avtoceste; SNVP; profili prometnega toka; časovne vrste; porazdelitev prometa po pasovih; prometni koledar; vremenski pojavi; traffic characterisation; motorway traffic control; traffic profiles; time series; lane flow distribution; traffic calendar; weather conditions,2019,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,,,1824,316
Celostna obravnava geokemije trdnih anorganskih delcev v urbanem okolju,"Gaberšek, Martin","Gosar, Mateja","Zupančič, Nina",urbana geokemija; trdni delci; potencialno strupeni elementi; biodostopnost; SEM/EDS; urban geochemistry; solid particles; potentially toxic elements; bioaccessibility; SEM/EDS,2019,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,,,4689,781
Razvoj sinteze nanodelcev binarnih in ternarnih zlitin platine na ogljikovem nosilcu kot elektrokatalizatorju,"Gatalo, Matija","Gaberšček, Miran",,gorivna celica s protonsko prevodno membrano (PEMFC); reakcija redukcije kisika (ORR); Pt-zlitine (Pt-M); dvojnapasivacija; ex-situkemijska aktivacija (ex-situCA); proton exchange membrane fuel cell (PEMFC); oxygen reduction reaction (ORR); Pt-alloys (Pt-M); double passivation; ex-situchemical activation (ex-situCA),2019,Slovenski jezik,FKKT - Fakulteta za kemijo in kemijsko tehnologijo,,,2159,352
Merjenje nivoja mišične aktivacije z metodo primerjave največje izometrične in eksentrične sile,"Umer, Romina","Strojnik, Vojko",,deficit sile; hidravlični sistem; dvojni vrinjeni skrček; ICC; veljavnost; strength deficit; hydraulic system; double interpolated twitch method; ICC; validity,2019,Slovenski jezik,FŠ - Fakulteta za šport,,,3122,382
Analiza diskusij spletnih podpornih skupin z metodami strojnega učenja za namen pridobivanja informacij o psiholoških vidikih zdravljenja,"Erčulj, Vanja Ida","Žiberna, Aleš","Globevnik Velikonja, Vislava",neplodnost; analiza besedila; tekstovno rudarjenje; raziskovalni pristop; spletna podporna skupina; metode strojnega učenja; validacija; zdravstvo; forum; infertility; text analysis; text mining; research approach; online support group; machine learning methods; validation; health; forum,2019,Slovenski jezik,FDV - Fakulteta za družbene vede,,,3502,464
Economic and reporting aspects of corporate social responsibility,"Galant, Adriana","Čadež, Simon",,social responsibility; enterprises; company performance; business efficiency; financial management; financial reports; reports; research; analysis; družbena odgovornost; podjetje; poslovanje podjetja; uspešnost poslovanja; finančno poslovanje; finančna poročila; poročila; raziskave; analiza,2019,Angleški jezik,EF - Ekonomska fakulteta,4,116,1804,220
Environmentally and socially responsible marketing strategies from managerial and consumer's side,"Hosta, Maja","Žabkar, Vesna",,marketing; marketing strategy; sustainable development; social responsibility; consumer behaviour; consumer psychology; behavioural sciences; planning; theory; trženje; strategija trženja; trajnostni razvoj; družbena odgovornost; vedenje potrošnikov; psihologija potrošnika; vedenjske znanosti; planiranje; teorija,2019,Angleški jezik,EF - Ekonomska fakulteta,4,118,1799,232
Optimizacija tovornega transporta z internalizacijo eksternih stroškov,"Zgonc, Borut","Jakšič, Marko","Tekavčič, Metka",prevoz; tovorni promet; železniški transport; cestni promet; infrastruktura; modeli; stroški; kalkulacije; konkurenčnost; analiza; ekonomska predvidevanja; transport; freight-traffic; railway transport; road traffic; infrastructure; models; costs; calculations; competitivity; analysis; economic forecasting,2019,Slovenski jezik,EF - Ekonomska fakulteta,11,135,22493,229
Možnosti uporabe uravnoteženega sistema kazalnikov za obvladovanje tveganj v okviru režima Solventnost II na slovenskem zavarovalniškem trgu,"Bešter, Helena","Tekavčič, Metka","Ograjenšek, Irena",Slovenija; zavarovalstvo; zavarovalni zavodi; obvladovanje tveganj; solventnost; uravnotežen seznam ciljev; ekonomska predvidevanja; teorija; raziskave; analiza; Slovenia; insurance; insurance companies; risk management; solvency; balanced scorecard; economic forecasting; theory; research; analysis,2019,Slovenski jezik,EF - Ekonomska fakulteta,14,302,1374,172
Usklajevanje poklicnega in zasebnega življenja podjetnikov,"Adlešič, Renata Valentina","Svetina Nabergoj, Anja",,podjetništvo; podjetje; podjetnik; kariera; družina; prosti čas; usklajevanje; modeli; strategija; raziskave; analiza; entrepreneurship; enterprises; entrepreneurs; career; family; leisure; adjustment; models; strategy; research; analysis,2019,Slovenski jezik,EF - Ekonomska fakulteta,4,126,2294,232
Determinants of firm's performance,"Božič, Valentina","Knežević Cvelbar, Ljubica",,Slovenia; Croatia; tourism; hotel industry; entrepreneurship; company performance; business efficiency; competitivity; research; international comparisons; analysis; Slovenija; Hrvaška; turizem; hotelirstvo; podjetništvo; poslovanje podjetja; uspešnost poslovanja; konkurenčnost; raziskave; mednarodne primerjave; analiza,2019,Angleški jezik,EF - Ekonomska fakulteta,3,91,1757,207
Public support for research and development investment and the impact on corporate performance,"Ravšelj, Dejan","Aristovnik, Aleksander","Slapničar, Sergeja",Slovenia; OECD; enterprises; company performance; business efficiency; research; development; promotion; subsidies; tax reliefs; Slovenija; OECD; podjetje; poslovanje podjetja; uspešnost poslovanja; raziskave; razvoj; pospeševanje; subvencije; davčne olajšave,2019,Angleški jezik,EF - Ekonomska fakulteta,5,127,1664,204
Asymmetric double weibull distribution and its applications,"Jurić, Višnja","Perman, Mihael","Kozubowski, Tomasz",business mathematics; asymmetric information; models; finance; data; calculations; yield; probability; evaluation; cases; poslovna matematika; asimetrične informacije; modeli; finance; podatki; kalkulacije; donos; verjetnost; ocene; primeri,2019,Angleški jezik,EF - Ekonomska fakulteta,5,88,1660,193
Disclosure of intangibles as a tool for influencing the behaviour of firms,"Lalović Voje, Gordana","Koman, Matjaž","Peljhan, Darja",entrepreneurship; enterprises; financing; capital; information; disclosure; company performance; business efficiency; management; podjetništvo; podjetje; financiranje; kapital; informacije; razkritje; poslovanje podjetja; uspešnost poslovanja; management,2019,Angleški jezik,EF - Ekonomska fakulteta,4,120,1302,172
The effects of employment protection legislation on worker flows and productivity in Slovenia,"Vodopivec, Matija","Polanec, Sašo",,Slovenia; labour market; employment; flexibility; productivity; labour costs; legislation; research; analysis; Slovenija; trg dela; zaposlovanje; fleksibilnost; produktivnost; stroški dela; zakonodaja; raziskave; analiza,2019,Angleški jezik,EF - Ekonomska fakulteta,6,132,1649,204
Causes and consequences of positioning within global value chains,"Vrh, Nataša","Damijan, Jože","Kostevc, Črt",Central Europe; Eastern Europe; international trade; exports; value added; value; valuation; evaluation; models; research; analysis; Srednja Evropa; Vzhodna Evropa; mednarodna trgovina; izvoz; dodana vrednost; vrednost; vrednotenje; ocene; modeli; raziskave; analiza,2019,Angleški jezik,EF - Ekonomska fakulteta,4,122,1520,235
Labour market adjustment and the role of institutions,"Savšek, Simon","Masten, Igor",,labour market; employment; level of employment; unemployment; flexibility; regulation; reforms; institutions; crises; research; analysis; trg dela; zaposlovanje; zaposlenost; brezposelnost; fleksibilnost; regulacija; reforme; institucije; krize; raziskave; analiza,2019,Angleški jezik,EF - Ekonomska fakulteta,3,79,1381,222
Business angels and early-stage investment,"Franić, Sanda","Drnovšek, Mateja",,enterprises; start-up; financing; business angels; investments; decision making; regulation; risk; venture capital; research; analysis; podjetje; zagonsko podjetje; financiranje; poslovni angeli; investicije; odločanje; regulacija; tveganje; rizični kapital; raziskave; analiza,2019,Angleški jezik,EF - Ekonomska fakulteta,3,95,25920,218
Modeliranje učeče se organizacije s pomočjo molekularnega mrežnega pristopa,"Janežič, Matej","Dimovski, Vlado","Hodošček, Milan",podjetje; poslovanje podjetja; učeča se organizacija; modeli; FUTURE-O; FUTURE-O-DYN; metode; informatika; simulacija; analiza; enterprises; company performance; learning organization; models; FUTURE-O; FUTURE-O-DYN; methods; informatics; simulation; analysis,2019,Slovenski jezik,EF - Ekonomska fakulteta,4,113,2462,212
Konceptualizacija timskega dela v socialnem delu v Sloveniji,"Rape Žiberna, Tamara","Rihter, Liljana",,center za socialno delo; poklicna identiteta; strokovna samozavest; delovni odnos; koncept soustvarjanja pomoči; uporabnik; kombinirana raziskava; social work centre; professional identity; professional self-confidence; working relationship; co-creation of help; user; mixed-methods research,2019,Slovenski jezik,FSD - Fakulteta za socialno delo,,,5129,1616
Vloga standardizirane ultrazvočne preiskave pri ugotavljanju zgodnje hemofilične artropatije,"Plut, Domen","Salapura, Vladka","Preložnik Zupan, Irena",Ultrazvok; HEAD-US; hemofilija; hemofilična artropatija; magnetna resonanca; Ultrasound; HEAD-US; haemophilia; haemophilic arthropathy; magnetic resonance imaging,2019,Slovenski jezik,MF - Medicinska fakulteta,,,1697,273
"PRIMERJAVA UČINKOVITOSTI FIKSACIJE MREŽICE S SPONKAMI, Z LEPILOM IN NEFIKSACIJSKE TEHNIKE PRI TRANSABDOMINALNI PREPERITONEALNI INGVINALNI HERNIOPLASTIKI","Gelebeševa Mateska, Tatjana","Omejc, Mirko",,operacija dimeljske kile; laparoskopska hernioplastika; TAPP; sponke; lepilo.; Inguinal hernia repair; Laparoscopic hernioplasty; TAPP; tacker; glue,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2446,239
Poselitev severozahodne Hrvaške v času bronaste in starejše železne dobe,"Špoljar, Davor","Teržan, Biba",,arheologija; naselitvena zgodovina,2019,Slovenski jezik,FF - Filozofska fakulteta,18,320,2702,352
"Povezanost med brezposelnostjo mladih odraslih, samopodobo in odnosi v izvorni družini","Pevc, Karmen","Simonič, Barbara",,brezposelnost; mladi odrasli; samopodoba; samospoštovanje; odnosi; izvorna družina; socialna ranljivost; vključenost; izključenost; delo; družina; partnerski odnos; učitelj; šola; mladostništvo; starši; unemployment; young adults; self-image; self-esteem; relationships; family of origin; social vulnerability; inclusion/exclusion; work; family; relationships; teacher; school; young adulthood; parents,2019,Slovenski jezik,TEOF - Teološka fakulteta,11,212,3009,566
MEHANIZEM Z MRAZOM IZZVANE VAZODILATACIJE KOT NAPOVEDNI DEJAVNIK ZA DOVZETNOST OMRZLIN PRI ALPINISTIH,"Gorjanc, Jurij","Veselko, Matjaž","Mekjavič, Igor",omrzline; tveganje za nastanek omrzlin; krni prstov; dovzetnost za nastanek omrzlin; frostbite; risk for frostbite; stumps; frostbite susceptibility,2019,Slovenski jezik,MF - Medicinska fakulteta,,,1556,347
Slovenska elektroakustična glasba in zvočna umetnost,"Trdan, Primož","Pompe, Gregor","Vrhunc, Larisa",slovenska glasba; glasba 20./21. st.; teorija glasbe; glasbene analize; fenomenologija; disertacije; electroacoustic music; sound art; Slovene music; 20th/21st century; theory of music; music analysis; phenomenology,2019,Slovenski jezik,FF - Filozofska fakulteta,,,2321,586
Optimalna velikost Ljubljane z vidika trajnostnega prostorskega razvoja Slovenije,"Šulin Košar, Anja","Rebernik, Dejan",,prostorsko planiranje; regionalni razvoj; trajnostni razvoj; prostorski razvoj; Slovenija; doktorske disertacije,2019,Slovenski jezik,FF - Filozofska fakulteta,,,2764,152
The dynamics of economic inequality in euro area based on the Marxist theory of exploitation,"Rubinić, Ivan","Tajnikar, Maks",,political economy; economic theories; Marxism; capitalism; inequality; manpower; business cycles; research; analysis; international economic integrations; EU; EMU; politična ekonomija; ekonomske teorije; marksizem; kapitalizem; neenakost; delovna sila; cikli; raziskave; analiza; mednarodne ekonomske integracije; EU; EMU,2019,Angleški jezik,EF - Ekonomska fakulteta,5,129,1279,153
